identifier,constant,rating,age,yearsmarried,number_of_children,religiousness,education,not_used_1,occupation,husband_occupation,extramarital_time_per_year,not_used_2,not_used_3
734.0,1.0,3.0,27.0,6.0,2.0,1.0,14.0,11.5,3.0,6.0,2.0416660,0.0,1.0
736.0,1.0,5.0,22.0,2.5,0.0,1.0,20.0,14.0,4.0,4.0,0.4000000,0.0,1.0
740.0,1.0,3.0,32.0,9.0,2.0,3.0,14.0,20.0,3.0,5.0,0.8888888,0.0,1.0
771.0,1.0,3.0,22.0,2.5,1.0,2.0,14.0,11.5,3.0,2.0,4.7999992,0.0,1.0
775.0,1.0,3.0,22.0,2.5,0.0,2.0,16.0,9.0,3.0,4.0,4.7999992,0.0,1.0
779.0,1.0,5.0,27.0,9.0,2.0,1.0,16.0,40.0,4.0,6.0,1.3333330,0.0,1.0
780.0,1.0,3.0,42.0,23.0,2.0,2.0,12.0,14.0,2.0,2.0,0.1521739,0.0,1.0
784.0,1.0,3.0,37.0,16.5,3.0,2.0,17.0,20.0,3.0,2.0,1.1878777,0.0,1.0
808.0,1.0,5.0,32.0,13.0,2.0,2.0,12.0,20.0,2.0,6.0,0.9423077,0.0,1.0
822.0,1.0,1.0,27.0,13.0,2.0,2.0,12.0,11.5,4.0,4.0,1.5076914,0.0,1.0
825.0,1.0,5.0,27.0,2.5,0.0,2.0,14.0,20.0,3.0,2.0,0.4000000,0.0,1.0
827.0,1.0,5.0,27.0,9.0,0.0,1.0,14.0,20.0,4.0,4.0,0.1111111,0.0,1.0
839.0,1.0,5.0,32.0,13.0,2.0,2.0,16.0,20.0,3.0,3.0,0.9423077,0.0,1.0
860.0,1.0,4.0,27.0,9.0,2.0,2.0,14.0,20.0,3.0,5.0,0.3888888,0.0,1.0
865.0,1.0,3.0,22.0,2.5,1.0,3.0,14.0,11.5,5.0,4.0,4.8999996,0.0,1.0
866.0,1.0,2.0,37.0,23.0,2.0,2.0,12.0,40.0,5.0,5.0,0.5326087,0.0,1.0
882.0,1.0,2.0,27.0,6.0,2.0,1.0,14.0,20.0,3.0,5.0,2.0416660,0.0,1.0
922.0,1.0,4.0,27.0,2.5,1.0,2.0,12.0,11.5,5.0,2.0,4.8999996,0.0,1.0
946.0,1.0,3.0,37.0,13.0,5.5,2.0,12.0,40.0,5.0,5.0,5.1692305,0.0,1.0
948.0,1.0,5.0,37.0,16.5,4.0,1.0,12.0,40.0,3.0,6.0,1.6969690,0.0,1.0
954.0,1.0,5.0,22.0,2.5,0.0,1.0,14.0,20.0,3.0,5.0,1.3999996,0.0,1.0
955.0,1.0,4.0,42.0,13.0,0.0,1.0,14.0,11.5,5.0,5.0,0.0769231,0.0,1.0
961.0,1.0,5.0,27.0,9.0,1.0,1.0,14.0,20.0,5.0,5.0,2.1777763,0.0,1.0
980.0,1.0,4.0,22.0,2.5,0.0,1.0,14.0,11.5,3.0,4.0,1.3999996,0.0,1.0
1000.0,1.0,4.0,22.0,2.5,1.0,2.0,14.0,20.0,5.0,4.0,7.8399963,0.0,1.0
1011.0,1.0,4.0,27.0,6.0,2.0,3.0,16.0,20.0,4.0,6.0,0.5833333,0.0,1.0
1013.0,1.0,2.0,32.0,16.5,1.0,2.0,14.0,40.0,3.0,5.0,2.7151508,0.0,1.0
1024.0,1.0,3.0,27.0,13.0,2.0,1.0,14.0,20.0,3.0,4.0,0.9423077,0.0,1.0
1029.0,1.0,4.0,22.0,0.5,0.0,2.0,12.0,20.0,3.0,2.0,7.0000000,0.0,1.0
1035.0,1.0,5.0,27.0,6.0,1.0,1.0,16.0,20.0,4.0,3.0,3.2666645,0.0,1.0
1037.0,1.0,2.0,27.0,9.0,2.0,2.0,14.0,11.5,3.0,5.0,4.6666660,0.0,1.0
1041.0,1.0,3.0,27.0,9.0,2.0,2.0,12.0,14.0,3.0,4.0,2.1777763,0.0,1.0
1047.0,1.0,4.0,32.0,16.5,3.0,3.0,12.0,20.0,2.0,3.0,0.4848484,0.0,1.0
1049.0,1.0,5.0,22.0,2.5,0.0,1.0,12.0,20.0,3.0,3.0,1.3999996,0.0,1.0
1071.0,1.0,4.0,22.0,2.5,1.0,2.0,14.0,11.5,4.0,4.0,3.1999998,0.0,1.0
1072.0,1.0,1.0,22.0,2.5,0.0,2.0,9.0,6.5,2.0,4.0,11.1999998,0.0,1.0
1074.0,1.0,3.0,32.0,13.0,2.0,1.0,20.0,40.0,6.0,6.0,1.5076914,0.0,1.0
1101.0,1.0,5.0,32.0,9.0,1.0,2.0,14.0,40.0,3.0,5.0,1.3333330,0.0,1.0
1118.0,1.0,5.0,27.0,2.5,0.0,1.0,20.0,20.0,6.0,4.0,1.3999996,0.0,1.0
1125.0,1.0,4.0,27.0,9.0,2.0,2.0,14.0,9.0,2.0,5.0,0.3888888,0.0,1.0
1128.0,1.0,4.0,27.0,6.0,0.0,3.0,12.0,11.5,5.0,2.0,2.0000000,0.0,1.0
1129.0,1.0,2.0,22.0,2.5,0.0,3.0,14.0,20.0,3.0,2.0,4.8999996,0.0,1.0
1130.0,1.0,3.0,27.0,9.0,2.0,3.0,17.0,9.0,4.0,6.0,1.3611107,0.0,1.0
1151.0,1.0,4.0,27.0,6.0,2.0,1.0,14.0,40.0,3.0,4.0,2.0416660,0.0,1.0
1152.0,1.0,5.0,22.0,2.5,1.0,1.0,12.0,20.0,2.0,2.0,1.3999996,0.0,1.0
1158.0,1.0,4.0,27.0,16.5,4.0,3.0,12.0,40.0,2.0,6.0,0.2121212,0.0,1.0
1165.0,1.0,2.0,27.0,6.0,1.0,2.0,14.0,11.5,4.0,3.0,3.2666645,0.0,1.0
1187.0,1.0,2.0,32.0,6.0,1.0,1.0,17.0,11.5,4.0,4.0,7.4666672,0.0,1.0
1194.0,1.0,5.0,27.0,6.0,2.0,2.0,16.0,20.0,4.0,3.0,0.5833333,0.0,1.0
1202.0,1.0,4.0,42.0,23.0,3.0,3.0,17.0,20.0,4.0,4.0,0.5217391,0.0,1.0
1207.0,1.0,4.0,32.0,9.0,2.0,1.0,16.0,20.0,4.0,6.0,0.1111111,0.0,1.0
1223.0,1.0,3.0,42.0,23.0,4.0,3.0,14.0,20.0,4.0,3.0,0.5217391,0.0,1.0
1232.0,1.0,5.0,27.0,6.0,2.0,1.0,12.0,9.0,5.0,2.0,2.0000000,0.0,1.0
1233.0,1.0,2.0,42.0,23.0,4.0,4.0,20.0,40.0,4.0,5.0,0.1521739,0.0,1.0
1251.0,1.0,3.0,32.0,6.0,0.0,2.0,20.0,40.0,4.0,5.0,4.6666660,0.0,1.0
1259.0,1.0,5.0,27.0,2.5,0.0,2.0,14.0,20.0,3.0,2.0,1.3999996,0.0,1.0
1261.0,1.0,2.0,42.0,16.5,3.0,3.0,12.0,20.0,3.0,5.0,1.1878777,0.0,1.0
1269.0,1.0,4.0,37.0,23.0,3.0,2.0,12.0,20.0,5.0,4.0,1.8260860,0.0,1.0
1271.0,1.0,3.0,27.0,2.5,0.0,2.0,17.0,14.0,4.0,4.0,1.3999996,0.0,1.0
1278.0,1.0,3.0,32.0,13.0,3.0,3.0,20.0,40.0,4.0,6.0,3.2307692,0.0,1.0
1288.0,1.0,3.0,27.0,2.5,0.0,2.0,14.0,40.0,3.0,4.0,4.7999992,0.0,1.0
1296.0,1.0,3.0,42.0,16.5,2.0,1.0,16.0,40.0,3.0,5.0,1.1878777,0.0,1.0
1301.0,1.0,4.0,22.0,2.5,0.0,2.0,14.0,20.0,5.0,5.0,0.4000000,0.0,1.0
1314.0,1.0,5.0,27.0,6.0,0.0,3.0,14.0,20.0,3.0,5.0,0.5833333,0.0,1.0
1320.0,1.0,3.0,22.0,2.5,0.0,1.0,12.0,11.5,2.0,4.0,7.8399963,0.0,1.0
1325.0,1.0,4.0,27.0,6.0,0.0,3.0,14.0,40.0,2.0,4.0,11.1999989,0.0,1.0
1333.0,1.0,3.0,27.0,9.0,2.0,2.0,16.0,14.0,3.0,4.0,1.3611107,0.0,1.0
1334.0,1.0,2.0,27.0,9.0,1.0,2.0,14.0,20.0,2.0,2.0,4.9777775,0.0,1.0
1337.0,1.0,3.0,22.0,2.5,0.0,3.0,12.0,20.0,3.0,3.0,4.7999992,0.0,1.0
1339.0,1.0,4.0,32.0,16.5,4.0,4.0,14.0,20.0,3.0,5.0,2.7151508,0.0,1.0
1349.0,1.0,5.0,32.0,2.5,2.0,2.0,14.0,20.0,3.0,4.0,0.4000000,0.0,1.0
1351.0,1.0,4.0,27.0,2.5,0.0,2.0,14.0,40.0,3.0,5.0,0.4000000,0.0,1.0
1356.0,1.0,5.0,32.0,9.0,3.0,3.0,16.0,11.5,4.0,4.0,0.1111111,0.0,1.0
1364.0,1.0,3.0,32.0,13.0,2.0,2.0,12.0,20.0,3.0,5.0,0.2692307,0.0,1.0
1368.0,1.0,3.0,32.0,16.5,3.0,3.0,12.0,20.0,3.0,2.0,0.7272727,0.0,1.0
1369.0,1.0,5.0,42.0,23.0,2.0,2.0,14.0,20.0,5.0,5.0,0.5217391,0.0,1.0
1370.0,1.0,3.0,27.0,16.5,4.0,3.0,14.0,20.0,4.0,2.0,0.7424242,0.0,1.0
1374.0,1.0,3.0,32.0,16.5,4.0,2.0,20.0,20.0,4.0,4.0,0.7272727,0.0,1.0
1378.0,1.0,4.0,22.0,2.5,2.0,2.0,14.0,14.0,5.0,2.0,4.7999992,0.0,1.0
1392.0,1.0,5.0,27.0,6.0,0.0,1.0,12.0,20.0,3.0,4.0,7.4666672,0.0,1.0
1396.0,1.0,4.0,37.0,16.5,3.0,4.0,16.0,40.0,5.0,5.0,0.2121212,0.0,1.0
1410.0,1.0,3.0,22.0,2.5,0.0,2.0,12.0,6.5,3.0,5.0,1.3999996,0.0,1.0
1411.0,1.0,4.0,32.0,13.0,2.0,2.0,14.0,20.0,3.0,5.0,1.5076914,0.0,1.0
1422.0,1.0,5.0,42.0,23.0,5.5,3.0,17.0,20.0,4.0,4.0,0.5217391,0.0,1.0
1455.0,1.0,2.0,27.0,6.0,2.0,3.0,12.0,11.5,2.0,2.0,1.3333330,0.0,1.0
1465.0,1.0,5.0,22.0,2.5,1.0,2.0,16.0,20.0,3.0,6.0,1.3999996,0.0,1.0
1486.0,1.0,3.0,42.0,23.0,2.0,3.0,12.0,11.5,2.0,2.0,0.5326087,0.0,1.0
1495.0,1.0,5.0,42.0,23.0,3.0,1.0,14.0,40.0,3.0,5.0,1.8260860,0.0,1.0
1499.0,1.0,4.0,22.0,2.5,0.0,3.0,12.0,20.0,3.0,4.0,4.8999996,0.0,1.0
1516.0,1.0,3.0,27.0,9.0,1.0,4.0,14.0,20.0,5.0,5.0,0.1111111,0.0,1.0
1519.0,1.0,2.0,37.0,23.0,3.0,3.0,12.0,20.0,2.0,4.0,4.1739130,0.0,1.0
1553.0,1.0,3.0,32.0,9.0,3.0,3.0,14.0,20.0,4.0,5.0,0.3888888,0.0,1.0
1554.0,1.0,5.0,37.0,16.5,4.0,3.0,12.0,14.0,3.0,4.0,1.1878777,0.0,1.0
1559.0,1.0,3.0,27.0,9.0,2.0,2.0,12.0,14.0,5.0,2.0,1.3333330,0.0,1.0
1560.0,1.0,3.0,27.0,6.0,1.0,2.0,17.0,6.5,2.0,2.0,1.3333330,0.0,1.0
1563.0,1.0,5.0,22.0,2.5,0.0,3.0,14.0,14.0,3.0,3.0,1.3999996,0.0,1.0
1568.0,1.0,5.0,27.0,6.0,0.0,2.0,17.0,20.0,4.0,5.0,1.3333330,0.0,1.0
1591.0,1.0,4.0,22.0,2.5,0.0,2.0,12.0,14.0,4.0,2.0,4.8999996,0.0,1.0
1595.0,1.0,4.0,27.0,6.0,0.0,2.0,12.0,20.0,3.0,4.0,4.6666660,0.0,1.0
1610.0,1.0,3.0,32.0,9.0,1.0,2.0,12.0,20.0,3.0,3.0,0.1111111,0.0,1.0
1611.0,1.0,1.0,42.0,23.0,4.0,3.0,12.0,20.0,3.0,5.0,0.8521735,0.0,1.0
1612.0,1.0,2.0,22.0,6.0,2.0,2.0,12.0,20.0,3.0,4.0,1.3333330,0.0,1.0
1617.0,1.0,4.0,32.0,16.5,2.0,2.0,12.0,14.0,2.0,2.0,0.4848484,0.0,1.0
1635.0,1.0,4.0,32.0,13.0,3.0,3.0,14.0,11.5,2.0,2.0,0.9423077,0.0,1.0
1639.0,1.0,5.0,27.0,9.0,2.0,1.0,12.0,20.0,3.0,3.0,0.3888888,0.0,1.0
1649.0,1.0,3.0,42.0,23.0,3.0,2.0,12.0,20.0,3.0,2.0,0.5217391,0.0,1.0
1673.0,1.0,3.0,37.0,16.5,1.0,3.0,20.0,20.0,6.0,6.0,2.7151508,0.0,1.0
1674.0,1.0,5.0,32.0,13.0,2.0,1.0,12.0,20.0,5.0,2.0,0.9423077,0.0,1.0
1677.0,1.0,4.0,27.0,13.0,3.0,1.0,12.0,9.0,4.0,2.0,3.4461536,0.0,1.0
1688.0,1.0,2.0,37.0,13.0,0.0,2.0,14.0,20.0,3.0,5.0,0.9230769,0.0,1.0
1690.0,1.0,3.0,27.0,9.0,1.0,1.0,12.0,11.5,2.0,2.0,3.1111107,0.0,1.0
1708.0,1.0,5.0,27.0,6.0,0.0,1.0,14.0,40.0,5.0,5.0,3.2666645,0.0,1.0
1711.0,1.0,2.0,42.0,23.0,2.0,3.0,12.0,14.0,5.0,2.0,0.8521735,0.0,1.0
1712.0,1.0,5.0,27.0,6.0,0.0,2.0,16.0,11.5,3.0,4.0,0.5833333,0.0,1.0
1713.0,1.0,4.0,22.0,2.5,0.0,4.0,16.0,14.0,5.0,4.0,7.8399963,0.0,1.0
1720.0,1.0,5.0,22.0,2.5,0.0,2.0,16.0,6.5,4.0,4.0,1.3999996,0.0,1.0
1724.0,1.0,5.0,42.0,13.0,0.0,3.0,12.0,11.5,3.0,2.0,1.5076914,0.0,1.0
1742.0,1.0,4.0,22.0,2.5,1.0,1.0,16.0,20.0,3.0,4.0,1.3999996,0.0,1.0
1757.0,1.0,4.0,32.0,9.0,1.0,3.0,16.0,14.0,3.0,5.0,1.3611107,0.0,1.0
1773.0,1.0,4.0,27.0,9.0,2.0,2.0,12.0,11.5,4.0,2.0,0.3888888,0.0,1.0
1793.0,1.0,5.0,27.0,6.0,0.0,1.0,16.0,14.0,5.0,2.0,2.0416660,0.0,1.0
1796.0,1.0,4.0,32.0,16.5,3.0,2.0,14.0,20.0,5.0,4.0,2.5454540,0.0,1.0
1802.0,1.0,2.0,42.0,2.5,0.0,4.0,20.0,40.0,6.0,5.0,4.7999992,0.0,1.0
1805.0,1.0,2.0,42.0,23.0,5.5,4.0,14.0,14.0,3.0,6.0,0.3478261,0.0,1.0
1822.0,1.0,4.0,42.0,23.0,4.0,2.0,12.0,20.0,3.0,2.0,0.3478261,0.0,1.0
1827.0,1.0,3.0,22.0,2.5,0.0,3.0,16.0,20.0,5.0,5.0,4.7999992,0.0,1.0
1837.0,1.0,2.0,22.0,2.5,0.0,3.0,14.0,20.0,3.0,5.0,1.3999996,0.0,1.0
1844.0,1.0,4.0,22.0,2.5,0.0,3.0,14.0,14.0,3.0,3.0,4.7999992,0.0,1.0
1852.0,1.0,4.0,32.0,16.5,4.0,3.0,14.0,11.5,4.0,4.0,0.2121212,0.0,1.0
1855.0,1.0,5.0,32.0,13.0,2.0,4.0,17.0,14.0,4.0,5.0,0.9423077,0.0,1.0
1863.0,1.0,4.0,32.0,13.0,3.0,4.0,12.0,20.0,3.0,5.0,1.5076914,0.0,1.0
1872.0,1.0,5.0,27.0,9.0,2.0,1.0,14.0,11.5,4.0,4.0,1.3611107,0.0,1.0
1889.0,1.0,4.0,27.0,6.0,1.0,4.0,16.0,11.5,3.0,4.0,0.5833333,0.0,1.0
1891.0,1.0,4.0,27.0,9.0,2.0,3.0,12.0,11.5,2.0,4.0,1.3333330,0.0,1.0
1904.0,1.0,1.0,37.0,16.5,3.0,2.0,17.0,11.5,4.0,4.0,0.7424242,0.0,1.0
1922.0,1.0,3.0,27.0,9.0,3.0,2.0,12.0,20.0,4.0,5.0,1.3611107,0.0,1.0
1926.0,1.0,2.0,27.0,6.0,0.0,2.0,14.0,20.0,3.0,4.0,4.6666660,0.0,1.0
1942.0,1.0,3.0,22.0,2.5,1.0,2.0,14.0,9.0,2.0,2.0,25.5999908,0.0,1.0
1950.0,1.0,4.0,22.0,2.5,1.0,3.0,12.0,9.0,3.0,4.0,4.8999996,0.0,1.0
1953.0,1.0,4.0,27.0,2.5,0.0,2.0,14.0,20.0,4.0,4.0,1.3999996,0.0,1.0
1967.0,1.0,1.0,42.0,23.0,2.0,3.0,12.0,11.5,3.0,5.0,0.5217391,0.0,1.0
1968.0,1.0,5.0,27.0,6.0,2.0,4.0,14.0,40.0,5.0,5.0,3.2666645,0.0,1.0
1969.0,1.0,5.0,27.0,6.0,0.0,1.0,12.0,20.0,4.0,2.0,0.5833333,0.0,1.0
1993.0,1.0,4.0,37.0,23.0,2.0,3.0,12.0,40.0,3.0,5.0,0.1521739,0.0,1.0
2003.0,1.0,4.0,22.0,6.0,2.0,2.0,12.0,11.5,3.0,4.0,0.1666666,0.0,1.0
2011.0,1.0,1.0,32.0,13.0,1.0,3.0,14.0,6.5,3.0,1.0,0.9423077,0.0,1.0
2020.0,1.0,5.0,22.0,6.0,1.0,1.0,16.0,20.0,3.0,5.0,0.5833333,0.0,1.0
2022.0,1.0,5.0,27.0,6.0,0.0,1.0,14.0,40.0,3.0,5.0,2.0000000,0.0,1.0
2034.0,1.0,5.0,27.0,6.0,1.0,1.0,17.0,40.0,4.0,5.0,3.2666645,0.0,1.0
2046.0,1.0,4.0,37.0,16.5,1.0,2.0,14.0,20.0,2.0,5.0,1.1878777,0.0,1.0
2051.0,1.0,4.0,27.0,9.0,2.0,2.0,12.0,9.0,2.0,2.0,2.1777763,0.0,1.0
2052.0,1.0,4.0,42.0,23.0,4.0,1.0,12.0,40.0,3.0,4.0,0.1521739,0.0,1.0
2086.0,1.0,4.0,32.0,13.0,0.0,3.0,12.0,20.0,2.0,2.0,2.1538458,0.0,1.0
2096.0,1.0,5.0,32.0,13.0,2.0,3.0,12.0,11.5,2.0,2.0,0.9230769,0.0,1.0
